"과목 및 유형","항목","단위","2018 년",
"대상분포(%)","평  균[만원]","만원","100",
"대상분포(%)","상위10% 이내[만원]","만원","10.36898",
"대상분포(%)","11 ~ 30%[만원]","만원","20.2275",
"대상분포(%)","31 ~ 60%[만원]","만원","30.04033",
"대상분포(%)","61 ~ 80%[만원]","만원","20.03318",
"대상분포(%)","81 ~ 100%[만원]","만원","19.33002",
"사교육비","평  균[만원]","만원","32.14451",
"사교육비","상위10% 이내[만원]","만원","38.41907",
"사교육비","11 ~ 30%[만원]","만원","38.68743",
"사교육비","31 ~ 60%[만원]","만원","34.80142",
"사교육비","61 ~ 80%[만원]","만원","28.96917",
"사교육비","81 ~ 100%[만원]","만원","21.09383",
"과목: 일반교과 사교육","평  균[만원]","만원","26.22013",
"과목: 일반교과 사교육","상위10% 이내[만원]","만원","35.75421",
"과목: 일반교과 사교육","11 ~ 30%[만원]","만원","34.42087",
"과목: 일반교과 사교육","31 ~ 60%[만원]","만원","28.85277",
"과목: 일반교과 사교육","61 ~ 80%[만원]","만원","21.545",
"과목: 일반교과 사교육","81 ~ 100%[만원]","만원","13.27828",
"국  어","평  균[만원]","만원","3.51423",
"국  어","상위10% 이내[만원]","만원","5.35894",
"국  어","11 ~ 30%[만원]","만원","4.76613",
"국  어","31 ~ 60%[만원]","만원","3.83794",
"국  어","61 ~ 80%[만원]","만원","2.75098",
"국  어","81 ~ 100%[만원]","만원","1.50262",
"영  어","평  균[만원]","만원","8.65449",
"영  어","상위10% 이내[만원]","만원","11.01551",
"영  어","11 ~ 30%[만원]","만원","11.06953",
"영  어","31 ~ 60%[만원]","만원","9.61395",
"영  어","61 ~ 80%[만원]","만원","7.5212",
"영  어","81 ~ 100%[만원]","만원","4.54425",
"수  학","평  균[만원]","만원","11.78668",
"수  학","상위10% 이내[만원]","만원","16.59529",
"수  학","11 ~ 30%[만원]","만원","15.44367",
"수  학","31 ~ 60%[만원]","만원","12.95697",
"수  학","61 ~ 80%[만원]","만원","9.44706",
"수  학","81 ~ 100%[만원]","만원","5.98647",
"사회, 과학","평  균[만원]","만원","1.52809",
"사회, 과학","상위10% 이내[만원]","만원","2.06862",
"사회, 과학","11 ~ 30%[만원]","만원","2.00533",
"사회, 과학","31 ~ 60%[만원]","만원","1.69711",
"사회, 과학","61 ~ 80%[만원]","만원","1.21418",
"사회, 과학","81 ~ 100%[만원]","만원",".80142",
"제2외국어, 한문, 컴퓨터","평  균[만원]","만원",".30221",
"제2외국어, 한문, 컴퓨터","상위10% 이내[만원]","만원",".21667",
"제2외국어, 한문, 컴퓨터","11 ~ 30%[만원]","만원",".30023",
"제2외국어, 한문, 컴퓨터","31 ~ 60%[만원]","만원",".28618",
"제2외국어, 한문, 컴퓨터","61 ~ 80%[만원]","만원",".31756",
"제2외국어, 한문, 컴퓨터","81 ~ 100%[만원]","만원",".3592",
"논  술","평  균[만원]","만원",".43443",
"논  술","상위10% 이내[만원]","만원",".49918",
"논  술","11 ~ 30%[만원]","만원",".83597",
"논  술","31 ~ 60%[만원]","만원",".46062",
"논  술","61 ~ 80%[만원]","만원",".29402",
"논  술","81 ~ 100%[만원]","만원",".08434",
